,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event,code,제품,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1184844785,NAD단품(+세트),08월 11일,362,39,11,10.77%,3.04%,,,07월 11일,391,37,11,9.46%,2.81%,,,05월 11일,269,29,12,10.78%,4.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733776,아이크림,08월 11일,173,21,6,12.14%,3.47%,,,07월 11일,285,34,10,11.93%,3.51%,,,05월 11일,254,36,13,14.17%,5.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1200967033,NAD아이크림(더블),08월 12일,745,54,18,7.25%,2.42%,,,07월 12일,,,,,,,,05월 12일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1193919062,콜겔 미스트,08월 12일,200,23,2,11.50%,1.00%,,,07월 12일,576,47,14,8.16%,2.43%,,,05월 12일,812,77,31,9.48%,3.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733766,3D리필기획 1&2,08월 12일,451,52,20,11.53%,4.43%,,,07월 12일,913,106,47,11.61%,5.15%,,,05월 12일,615,71,31,11.54%,5.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733836,콜라겐크림(+더블),08월 12일,219,37,20,16.89%,9.13%,,,07월 12일,211,32,17,15.17%,8.06%,,,05월 12일,322,69,33,21.43%,10.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1184844785,NAD단품(+세트),08월 12일,439,30,13,6.83%,2.96%,,,07월 12일,340,40,17,11.76%,5.00%,,,05월 12일,267,31,12,11.61%,4.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733776,아이크림,08월 12일,185,22,8,11.89%,4.32%,,,07월 12일,250,39,19,15.60%,7.60%,,,05월 12일,216,37,13,17.13%,6.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1200967033,NAD아이크림(더블),08월 13일,732,70,18,9.56%,2.46%,,,07월 13일,,,,,,,,05월 13일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1193919062,콜겔 미스트,08월 13일,242,22,9,9.09%,3.72%,,,07월 13일,472,41,18,8.69%,3.81%,,,05월 13일,743,70,32,9.42%,4.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733766,3D리필기획 1&2,08월 13일,608,70,20,11.51%,3.29%,,,07월 13일,698,43,18,6.16%,2.58%,,,05월 13일,573,69,26,12.04%,4.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733836,콜라겐크림(+더블),08월 13일,222,51,19,22.97%,8.56%,,,07월 13일,214,42,13,19.63%,6.07%,,,05월 13일,300,63,24,21.00%,8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1184844785,NAD단품(+세트),08월 13일,317,36,19,11.36%,5.99%,,,07월 13일,384,42,12,10.94%,3.13%,,,05월 13일,257,32,11,12.45%,4.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733776,아이크림,08월 13일,219,36,9,16.44%,4.11%,,,07월 13일,185,24,8,12.97%,4.32%,,,05월 13일,224,38,12,16.96%,5.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
