,,,,,,,,,,,,,,,,
code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율,,code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율
1089751381,06월 04일,콜라겐 토너,"1,904",270,137,0.72%,2.45%,,1089751381,03월 05일,콜라겐 토너,,,,,
1043733836,06월 04일,콜라겐 크림 단품,"1,686",325,201,0.87%,3.60%,,1043733836,03월 05일,콜라겐 크림 단품,"4,251","1,127",794,2.57%,11.28%
1043733766,06월 05일,아사츄르 요르탄,"11,265","1,953",928,5.20%,16.62%,,1043733766,03월 06일,아사츄르 요르탄,"18,860","2,379","1,272",5.42%,18.08%
1102765780,06월 05일,기획박스,"6,894",578,291,1.54%,5.21%,,1102765780,03월 06일,기획박스,"10,779",523,220,1.19%,3.13%
1193919062,06월 05일,콜겔 미스트,"11,025",649,317,1.73%,5.68%,,1193919062,03월 06일,콜겔 미스트,,,,0.00%,0.00%
1125492693,06월 05일,혼합박스,"3,680",388,197,1.03%,3.53%,,1125492693,03월 06일,혼합박스,"4,640",181,56,0.41%,0.80%
1193917996,06월 05일,마리에 콜라보,"2,295",225,112,0.60%,2.01%,,1193917996,03월 06일,마리에 콜라보,"2,993",507,241,1.16%,3.42%
1043733820,06월 05일,3d 단품,"3,041",680,443,1.81%,7.93%,,1043733820,03월 06일,3d 단품,"3,885",961,559,2.19%,7.94%
1184844785,06월 05일,nad단품,"2,232",396,226,1.05%,4.05%,,1184844785,03월 06일,nad단품,"7,096",99,32,0.23%,0.45%
1043733776,06월 05일,아이크림,"1,968",499,329,1.33%,5.89%,,1043733776,03월 06일,아이크림,"1,980",447,284,1.02%,4.04%
1089751381,06월 05일,콜라겐 토너,"1,690",198,100,0.53%,1.79%,,1089751381,03월 06일,콜라겐 토너,,,,,
1043733836,06월 05일,콜라겐 크림 단품,"1,291",241,147,0.64%,2.63%,,1043733836,03월 06일,콜라겐 크림 단품,"2,082",332,184,0.76%,2.61%
1043733766,06월 06일,아사츄르 요르탄,"22,286","1,933","1,130",5.15%,20.24%,,1043733766,03월 07일,아사츄르 요르탄,"23,724","3,307","2,083",7.53%,29.60%
1102765780,06월 06일,기획박스,"26,814","2,266","1,290",6.03%,23.11%,,1102765780,03월 07일,기획박스,"39,219","7,629","4,744",17.38%,67.42%
1193919062,06월 06일,콜겔 미스트,"8,615",770,471,2.05%,8.44%,,1193919062,03월 07일,콜겔 미스트,,,,0.00%,0.00%
1125492693,06월 06일,혼합박스,"5,123",559,309,1.49%,5.53%,,1125492693,03월 07일,혼합박스,"5,775",64,8,0.15%,0.11%
1193917996,06월 06일,마리에 콜라보,"3,398",397,209,1.06%,3.74%,,1193917996,03월 07일,마리에 콜라보,"4,791",795,458,1.81%,6.51%
1043733820,06월 06일,3d 단품,"3,529",914,653,2.43%,11.70%,,1043733820,03월 07일,3d 단품,"5,285","1,284",883,2.93%,12.55%
1184844785,06월 06일,nad단품,"3,067",652,456,1.74%,8.17%,,1184844785,03월 07일,nad단품,"7,727",172,60,0.39%,0.85%
1043733776,06월 06일,아이크림,"3,200","1,053",765,2.80%,13.70%,,1043733776,03월 07일,아이크림,"2,949",710,456,1.62%,6.48%
1089751381,06월 06일,콜라겐 토너,"2,020",278,175,0.74%,3.13%,,1089751381,03월 07일,콜라겐 토너,,,,,
1043733836,06월 06일,콜라겐 크림 단품,"2,545",576,404,1.53%,7.24%,,1043733836,03월 07일,콜라겐 크림 단품,"2,491",456,312,1.04%,4.43%
1043733766,06월 07일,아사츄르 요르탄,"17,578","3,729","2,123",9.93%,38.03%,,1043733766,03월 08일,아사츄르 요르탄,"22,807","3,404","1,929",7.75%,27.41%
1102765780,06월 07일,기획박스,"9,792","1,185",554,3.15%,9.92%,,1102765780,03월 08일,기획박스,"24,606","2,617","1,204",5.96%,17.11%
1193919062,06월 07일,콜겔 미스트,"8,567",864,412,2.30%,7.38%,,1193919062,03월 08일,콜겔 미스트,,,,0.00%,0.00%
1125492693,06월 07일,혼합박스,"14,681","2,204","1,275",5.87%,22.84%,,1125492693,03월 08일,혼합박스,"3,562",0,0,1.38%,0.00%
1193917996,06월 07일,마리에 콜라보,"3,262",465,236,1.24%,4.23%,,1193917996,03월 08일,마리에 콜라보,"3,539",605,319,,4.53%
1043733820,06월 07일,3d 단품,"3,937","1,065",620,2.84%,11.11%,,1043733820,03월 08일,3d 단품,"4,988","1,199",717,2.73%,10.19%
1184844785,06월 07일,nad단품,"3,224",679,424,1.81%,7.59%,,1184844785,03월 08일,nad단품,"5,906",453,231,1.03%,3.28%
1043733776,06월 07일,아이크림,"3,892","1,232",848,3.28%,15.19%,,1043733776,03월 08일,아이크림,"2,560",670,398,1.53%,5.66%
1089751381,06월 07일,콜라겐 토너,"2,247",327,173,0.87%,3.10%,,1089751381,03월 08일,콜라겐 토너,,,,,
1043733836,06월 07일,콜라겐 크림 단품,"2,847",652,399,1.74%,7.15%,,1043733836,03월 08일,콜라겐 크림 단품,"2,125",443,270,1.01%,3.84%
1043733766,06월 08일,아사츄르 요르탄,"9,689","1,605",957,4.27%,17.14%,,1043733766,03월 09일,아사츄르 요르탄,"28,450","3,765","1,799",8.58%,25.56%
1102765780,06월 08일,기획박스,"5,099",600,261,1.60%,4.67%,,1102765780,03월 09일,기획박스,"14,336","1,137",539,2.59%,7.66%
1193919062,06월 08일,콜겔 미스트,"5,688",490,226,1.30%,4.05%,,1193919062,03월 09일,콜겔 미스트,,,,0.00%,0.00%
1125492693,06월 08일,혼합박스,"4,012",379,179,1.01%,3.21%,,1125492693,03월 09일,혼합박스,"15,204",2703,1765,6.16%,25.08%
1193917996,06월 08일,마리에 콜라보,"1,746",196,108,0.52%,1.93%,,1193917996,03월 09일,마리에 콜라보,"2,916",402,224,0.92%,3.18%
1043733820,06월 08일,3d 단품,"2,696",663,423,1.77%,7.58%,,1043733820,03월 09일,3d 단품,"4,112",844,510,1.92%,7.25%
1184844785,06월 08일,nad단품,"2,131",270,172,0.72%,3.08%,,1184844785,03월 09일,nad단품,"4,386",753,365,1.72%,5.19%
1043733776,06월 08일,아이크림,"2,861",700,531,1.86%,9.51%,,1043733776,03월 09일,아이크림,"2,942",879,620,2.00%,8.81%
1089751381,06월 08일,콜라겐 토너,"1,441",175,98,0.47%,1.76%,,1089751381,03월 09일,콜라겐 토너,0,0,0,0.00%,0.00%
1043733836,06월 08일,콜라겐 크림 단품,"1,324",199,143,0.53%,2.56%,,1043733836,03월 09일,콜라겐 크림 단품,"1,640",285,171,0.65%,2.43%
1043733766,06월 09일,아사츄르 요르탄,"11,999","2,095","1,274",5.58%,22.82%,,1043733766,03월 10일,아사츄르 요르탄,"21,681","3,451","1,795",7.86%,25.51%
1102765780,06월 09일,기획박스,"6,474",697,386,1.86%,6.91%,,1102765780,03월 10일,기획박스,"12,501",894,478,2.04%,6.79%
1193919062,06월 09일,콜겔 미스트,"6,861",913,574,2.43%,10.28%,,1193919062,03월 10일,콜겔 미스트,,,,0.00%,0.00%
1125492693,06월 09일,혼합박스,"5,034",514,243,1.37%,4.35%,,1125492693,03월 10일,혼합박스,"5,639",543,281,1.24%,3.99%
1193917996,06월 09일,마리에 콜라보,"1,991",222,133,0.59%,2.38%,,1193917996,03월 10일,마리에 콜라보,"2,413",378,252,0.86%,3.58%
1043733820,06월 09일,3d 단품,"3,114",766,488,2.04%,8.74%,,1043733820,03월 10일,3d 단품,"4,125","1,047",679,2.39%,9.65%
1184844785,06월 09일,nad단품,"1,768",212,150,0.56%,2.69%,,1184844785,03월 10일,nad단품,"4,709",690,385,1.57%,5.47%
1043733776,06월 09일,아이크림,"2,742",696,441,1.85%,7.90%,,1043733776,03월 10일,아이크림,"2,703",827,410,1.88%,5.83%
1089751381,06월 09일,콜라겐 토너,"1,729",208,110,0.55%,1.97%,,1089751381,03월 10일,콜라겐 토너,0,0,0,0.00%,0.00%
1043733836,06월 09일,콜라겐 크림 단품,"2,028",417,290,1.11%,5.19%,,1043733836,03월 10일,콜라겐 크림 단품,"1,754",335,221,0.76%,3.14%
1043733766,06월 10일,아사츄르 요르탄,"14,917","3,601","2,472",9.59%,44.28%,,1043733766,03월 11일,아사츄르 요르탄,"29,576","6,469","5,158",14.74%,73.30%
1102765780,06월 10일,기획박스,"8,995","1,309",822,3.49%,14.72%,,1102765780,03월 11일,기획박스,"13,920","1,172",940,2.67%,13.36%
1193919062,06월 10일,콜겔 미스트,"7,734",965,708,2.57%,12.68%,,1193919062,03월 11일,콜겔 미스트,,,,0.00%,0.00%
1125492693,06월 10일,혼합박스,"7,204","1,185",800,3.15%,14.33%,,1125492693,03월 11일,혼합박스,"7,228",1292,817,2.94%,11.61%
1193917996,06월 10일,마리에 콜라보,"3,007",501,392,1.33%,7.02%,,1193917996,03월 11일,마리에 콜라보,"3,392",591,512,1.35%,7.28%
1043733820,06월 10일,3d 단품,"4,624","1,571","1,301",4.18%,23.30%,,1043733820,03월 11일,3d 단품,"6,115","1,805","1,567",4.11%,22.27%
1184844785,06월 10일,nad단품,"2,406",431,386,1.15%,6.91%,,1184844785,03월 11일,nad단품,"8,388","1,294","1,024",2.95%,14.55%
1043733776,06월 10일,아이크림,"7,634","1,137","1,019",3.03%,18.25%,,1043733776,03월 11일,아이크림,"3,088",933,748,2.13%,10.63%
1089751381,06월 10일,콜라겐 토너,"4,863",735,474,1.96%,8.49%,,1089751381,03월 11일,콜라겐 토너,0,0,0,0.00%,0.00%
1043733836,06월 10일,콜라겐 크림 단품,"2,301",521,442,1.39%,7.92%,,1043733836,03월 11일,콜라겐 크림 단품,"1,992",313,207,0.71%,2.94%
